tindex,camp,link
7,austria,https://www.soccerstats.com/widetable.asp?league=austria
7,belgium,https://www.soccerstats.com/widetable.asp?league=belgium
7,switzerland,https://www.soccerstats.com/widetable.asp?league=switzerland
7,germany,https://www.soccerstats.com/widetable.asp?league=germany
7,england,https://www.soccerstats.com/widetable.asp?league=england
7,spain,https://www.soccerstats.com/widetable.asp?league=spain
7,france,https://www.soccerstats.com/widetable.asp?league=france
7,netherlands,https://www.soccerstats.com/widetable.asp?league=netherlands
7,italy,https://www.soccerstats.com/widetable.asp?league=italy
7,portugal,https://www.soccerstats.com/widetable.asp?league=portugal
7,scotland,https://www.soccerstats.com/widetable.asp?league=scotland
7,czechrepublic,https://www.soccerstats.com/widetable.asp?league=czechrepublic
7,denmark,https://www.soccerstats.com/widetable.asp?league=denmark
7,finland,https://www.soccerstats.com/widetable.asp?league=finland
7,greece,https://www.soccerstats.com/widetable.asp?league=greece
7,norway,https://www.soccerstats.com/widetable.asp?league=norway
7,poland,https://www.soccerstats.com/widetable.asp?league=poland
7,sweden,https://www.soccerstats.com/widetable.asp?league=sweden
7,turkey,https://www.soccerstats.com/widetable.asp?league=turkey